Date,Tin_measured,Tin_estimated,residual_c,segment_id,gap_before,Tout,Qhvac_W_A,tout_train_quantile_regime,regime_bias_c,Tin_estimated_regime_corrected,residual_regime_corrected_c
2021-03-22 07:00:00+00:00,22.551332059574587,27.211580509098503,-4.660248449523916,0,False,10.874576266304349,5441.027778556193,cold,-1.9697722199045593,25.241808289193944,-2.6904762296193567
2021-03-22 08:00:00+00:00,22.618397134578068,27.214824643734282,-4.596427509156214,0,False,12.512563435483871,5804.233095547049,cold,-1.9697722199045593,25.245052423829723,-2.626655289251655
2021-03-22 09:00:00+00:00,23.094674489320564,27.21828533599706,-4.123610846676495,0,False,13.82310432234432,6341.218878186493,cold,-1.9697722199045593,25.2485131160925,-2.153838626771936
2021-03-22 10:00:00+00:00,23.31747617400094,27.22206620011192,-3.9045900261109807,0,False,15.303378707865168,5346.66130945936,cold,-1.9697722199045593,25.252293980207362,-1.9348178062064214
2021-03-22 11:00:00+00:00,23.78146685984257,27.225254072638254,-3.4437872127956837,0,False,16.70125210752688,7975.06163594625,mid,-0.2935603234756208,26.931693749162633,-3.150226889320063
2021-03-22 12:00:00+00:00,24.22536949351214,27.230009096802902,-3.0046396032907623,0,False,17.858950762681157,6963.245912611333,mid,-0.2935603234756208,26.93644877332728,-2.7110792798151415
2021-03-22 13:00:00+00:00,24.39290224893404,27.234160839221556,-2.8412585902875165,0,False,18.60238228673835,6218.64304351898,mid,-0.2935603234756208,26.940600515745935,-2.5476982668118957
2021-03-22 14:00:00+00:00,24.47720990162047,27.237868621958135,-2.7606587203376662,0,False,18.625347998263887,5963.50055692099,mid,-0.2935603234756208,26.944308298482515,-2.4670983968620455
2021-03-22 15:00:00+00:00,24.376080184559488,27.241424279193897,-2.865344094634409,0,False,18.249193908934707,4905.032240985428,mid,-0.2935603234756208,26.947863955718276,-2.5717837711587883
2021-03-22 16:00:00+00:00,24.311845518857474,27.244348837717357,-2.932503318859883,0,False,17.22086670744681,4804.592749162819,mid,-0.2935603234756208,26.950788514241736,-2.6389429953842622
2021-03-22 17:00:00+00:00,24.355963210485594,27.247213509817616,-2.8912502993320217,0,False,16.123791086805557,4595.838685373804,mid,-0.2935603234756208,26.953653186341995,-2.597689975856401
2021-03-22 18:00:00+00:00,24.33103802857576,27.24995371424526,-2.9189156856695,0,False,14.591733622222222,4966.991517964545,cold,-1.9697722199045593,25.280181494340702,-0.9491434657649407
2021-03-22 19:00:00+00:00,24.25155107251284,27.252915212958158,-3.001364140445318,0,False,13.704554121993128,5143.124730891621,cold,-1.9697722199045593,25.2831429930536,-1.0315919205407589
2021-03-22 20:00:00+00:00,24.229387468531517,27.255981728346466,-3.0265942598149493,0,False,13.08191086956522,5334.486747247363,cold,-1.9697722199045593,25.286209508441907,-1.05682203991039
2021-03-22 21:00:00+00:00,24.125323938440392,27.259162340556085,-3.1338384021156926,0,False,11.142759102430556,5448.708441490914,cold,-1.9697722199045593,25.289390120651525,-1.1640661822111333
2021-03-22 22:00:00+00:00,23.987838719965332,27.26241105482657,-3.2745723348612366,0,False,9.631541761904762,5319.690333909924,cold,-1.9697722199045593,25.29263883492201,-1.3048001149566772
2021-03-22 23:00:00+00:00,23.885131555922484,27.26558284273503,-3.3804512868125443,0,False,9.010518510638295,5362.943408738566,cold,-1.9697722199045593,25.29581062283047,-1.410679066907985
2021-03-23 00:00:00+00:00,23.831227645128784,27.268780419364017,-3.4375527742352325,0,False,7.908972459096458,5932.31515498146,cold,-1.9697722199045593,25.299008199459458,-1.4677805543306732
2021-03-23 01:00:00+00:00,23.8085620826816,27.27231747608772,-3.463755393406121,0,False,7.36500179347826,5954.13106476358,cold,-1.9697722199045593,25.302545256183162,-1.4939831735015616
2021-03-23 02:00:00+00:00,23.695759814500526,27.275867539937877,-3.580107725437351,0,False,6.523327071684587,6337.26425357596,cold,-1.9697722199045593,25.306095320033318,-1.6103355055327917
2021-03-23 03:00:00+00:00,23.58468931373587,27.279646041634557,-3.6949567278986883,0,False,6.237587564516129,6145.822868248409,cold,-1.9697722199045593,25.309873821729997,-1.725184507994129
2021-03-23 04:00:00+00:00,23.51455250037044,27.283310398624554,-3.7687578982541154,0,False,5.8927509050179205,6741.6986424978095,cold,-1.9697722199045593,25.313538178719995,-1.7989856783495561
2021-03-23 05:00:00+00:00,23.47308208869248,27.287330038868955,-3.814247950176476,0,False,5.528913827777777,8236.25943141609,cold,-1.9697722199045593,25.317557818964396,-1.8444757302719168
2021-03-23 06:00:00+00:00,23.45232000830578,27.292240792042232,-3.839920783736453,0,False,5.224186684210526,7688.969448004495,cold,-1.9697722199045593,25.322468572137673,-1.8701485638318935
2021-03-23 07:00:00+00:00,23.478551450904444,27.296825230225902,-3.8182737793214585,0,False,8.390912423913043,8259.725059690574,cold,-1.9697722199045593,25.327053010321343,-1.8485015594168992
2021-03-23 08:00:00+00:00,23.65923959049177,27.30174997623971,-3.64251038574794,0,False,12.116845059259258,7489.598164150408,cold,-1.9697722199045593,25.33197775633515,-1.6727381658433806
2021-03-23 09:00:00+00:00,23.8546150299662,27.306215546023246,-3.451600516057045,0,False,14.78723961231884,8276.747323937389,cold,-1.9697722199045593,25.336443326118687,-1.4818282961524858
