model,model_index,start_id,start_kind,start_seed,initial_parameters_log,final_parameters_log,fit_success,fit_status,fit_message,nfev,nit,train_mse,train_rmse,validation_rmse,validation_bic,test_rmse,error,selected_by_train_mse,selection_reason
LADDER_1R1C,0,28,log_uniform_within_published_bounds,2334732343.0,"[0.8505828105340392,8.01350633843571,-14.171627861991682]","[5.0,22.146311024059607,-13.369856478947883]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,172,3,43.298062837992525,6.580126354257381,4.262132955398679,4266.792548809523,0.633068996855443,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,29,log_uniform_within_published_bounds,4084974363.0,"[1.4094847622141433,20.02380757729903,-7.976350124720231]","[4.999890579335857,24.39863853584686,1.8773226149294462]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156,12,3.258451147185855,1.8051180424520317,5.006915792201093,4738.34808036522,0.8494943829681121,,True,minimum_train_mse_then_lowest_start_id
LADDER_1R1C,0,30,log_uniform_within_published_bounds,4267902687.0,"[-7.800933052839346,23.41310258148945,-8.952711950573267]","[2.964731742918486,23.389733207527822,0.868429707605111]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,288,35,3.258499017672914,1.805131302058915,5.006783460704745,4738.270693055786,0.8494598845316416,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,31,log_uniform_within_published_bounds,1095515428.0,"[-2.0734302435337737,24.983732736974353,1.9886776354248532]","[3.05007379192478,24.521292785161712,1.9999999999689804]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,248,20,3.2584635989595285,1.8051214914679645,5.006896129349336,4738.336581681123,0.8494980578949457,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,32,log_uniform_within_published_bounds,3077112909.0,"[-5.12834301720733,15.700368002135438,-18.74475220050062]","[4.999999929696733,24.999999938190573,-18.744735147794017]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48,3,43.2968846506314,6.580036827452518,4.2621925247958234,4266.833471506633,0.6330601566749016,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,1,notebook_initialization,,"[-1.6094379124341003,-1.6094379124341003,16.11809565095832,16.11809565095832,-9.210340371976182]","[-2.010981590013652,5.0,21.71620185337845,12.379287810419674,-0.8063184206336208]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,492,46,3.25855844012738,1.805147761300271,5.00585643906557,4752.306369879649,0.8486442083916409,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,2,log_uniform_within_published_bounds,1240724818.0,"[1.2540080869515542,-2.411633579073948,10.43073503162539,11.64605310480075,-14.561411756909436]","[4.997118638290571,-4.761987650136424,18.391833599985855,9.103390595689058,-4.128051744467115]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,558,41,3.2594215329905656,1.8053868097974366,5.0051077483153,4751.868416755485,0.8495446054564603,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,3,log_uniform_within_published_bounds,1692423468.0,"[-8.750708930213555,-0.26475203784145585,22.16332566737087,24.27443458251644,-1.888021881827715]","[-9.999999782238358,3.630712514994482,24.032072704175825,18.25511626161824,1.5138688396179805]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,702,65,3.258466798321847,1.8051223776580487,5.00690119719979,4752.917400714355,0.8494996990149162,,True,minimum_train_mse_then_lowest_start_id
LADDER_2R2C,1,4,log_uniform_within_published_bounds,1919568673.0,"[-9.087860739257899,-7.634064327846438,17.751724709782934,22.69747142721623,-10.15751842065091]","[-9.994777155629423,-7.94731061874196,14.11591898047851,21.110225000122185,-10.041061062395578]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,264,20,74.39556172083164,8.625286181967045,9.406639156111734,6599.309905199262,9.62654593134982,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,5,log_uniform_within_published_bounds,3020143442.0,"[-9.244542516710531,-6.366817876401276,15.824535070566963,20.283324431209195,-12.191074254654342]","[-9.999542345280062,-6.715990115560984,15.029252952973112,19.87658170630516,-12.154910926613079]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,108,13,74.39690878037067,8.625364269430635,9.399118988042712,6596.968169959344,9.617224338102671,,False,higher_train_mse_or_later_train_mse_tie
